"name","avg_salary","eFG","PER","tot_games","draft_round"
"Shareef Abdur-Rahim",8.4875,"47.9","19.0",830,1
"Quincy Acy",1.14650085714286,"51.3","11.2",337,2
"Steven Adams",6.4334614,"58.8","16.7",467,1
"Arron Afflalo",4.90434658333333,"51.4","11.9",762,1
"LaMarcus Aldridge",12.3015768333333,"49.5","20.9",950,1
"Lavoy Allen",2.5302945,"47.2","12.5",388,2
"Ray Allen",12.3130954545455,"53.0","18.6",1300,1
"Tony Allen",2.90702992857143,"48.7","14.2",820,1
"Rafer Alston",3.3427265,"46.1","13.2",671,2
"Al-Farouq Aminu",4.4309705,"48.2","12.4",670,1
"Derek Anderson",4.907998375,"46.3","15.3",615,1
"James Anderson",0.895769333333333,"48.8","9.9",247,1
"Ryan Anderson",7.850978,"52.3","16.5",647,1
"Shandon Anderson",5.17557083333333,"49.2","11.7",719,2
"Carmelo Anthony",15.466761,"48.2","20.3",1064,1
"Gilbert Arenas",13.9869469,"48.2","19.6",552,2
"Trevor Ariza",5.45146642857143,"50.2","13.3",1011,2
"Hilton Armstrong",1.8988956,"50.2","9.9",292,1
"Darrell Arthur",3.3222575,"47.0","12.2",503,1
"D.J. Augustin",3.563831,"49.7","14.2",807,1
"Jeff Ayres",1.225595,"55.5","12.4",237,2
"Luke Babbitt",1.51268042857143,"53.2","10.1",381,1
"Vin Baker",5.26374585714286,"48.7","16.3",791,1
"Renaldo Balkman",1.56845957142857,"51.8","14.3",221,1
"Marcus Banks",3.26694,"46.9","12.2",348,1
"Harrison Barnes",9.645672,"50.0","13.3",540,1
"Matt Barnes",1.9630009375,"51.3","12.7",929,2
"Brent Barry",4.14162,"57.0","15.7",912,1
"Will Barton",2.109019,"48.9","14.4",438,2
"Brandon Bass",3.23429241666667,"50.0","15.3",758,2
"Tony Battie",4.45426244444444,"49.0","12.6",837,1
"Shane Battier",4.727122,"52.9","12.6",977,1
"Jerryd Bayless",4.0030604,"47.1","12.2",586,1
"Bradley Beal",10.7574616666667,"51.9","17.1",488,1
"Michael Beasley",2.82227223076923,"48.7","15.6",609,1
"Anthony Bennett",3.3002344,"42.0","10.2",151,1
"Patrick Beverley",3.33316766666667,"51.7","12.5",380,2
"Mike Bibby",9.51312977777778,"49.7","16.1",1001,1
"Chauncey Billups",7.4775,"49.5","18.8",1043,1
"DeJuan Blair",1.25084385714286,"52.4","16.5",424,2
"Steve Blake",2.84572630769231,"50.1","11.1",870,2
"Eric Bledsoe",7.647052875,"50.3","18.1",570,1
"Mark Blount",6.14705971428571,"50.8","12.5",605,2
"Keith Bogans",1.74003463636364,"48.9","9.6",671,2
"Andrew Bogut",8.40283264285714,"53.5","16.4",706,1
"Matt Bonner",2.5106945,"57.0","13.6",792,2
"Trevor Booker",3.81312177777778,"52.8","15.0",532,1
"Calvin Booth",3.5817915,"45.2","12.4",366,2
"Carlos Boozer",11.2123290769231,"52.1","19.5",861,2
"Chris Bosh",14.3514888666667,"50.6","20.6",893,1
"Ryan Bowen",0.905981571428571,"46.2","10.5",507,2
"Avery Bradley",4.885609,"49.4","11.2",522,1
"Elton Brand",10.2297458666667,"50.1","20.5",1058,1
"Corey Brewer",4.20049391666667,"46.5","11.8",814,1
"Ronnie Brewer",2.452281125,"50.5","14.4",502,1
"Aaron Brooks",1.83129390909091,"48.8","13.3",645,1
"Shannon Brown",2.189122625,"46.8","12.4",408,1
"Greg Buckner",2.26416627272727,"49.8","10.7",570,2
"Chase Budinger",2.27950625,"50.4","13.0",407,2
"Reggie Bullock",1.6715608,"55.0","11.2",272,1
"Trey Burke",2.3632636,"46.8","14.0",361,1
"Alec Burks",5.66309728571429,"46.6","13.6",429,1
"Caron Butler",5.49870026666667,"46.9","15.0",881,1
"Jimmy Butler",8.193341,"49.1","20.0",523,1
"Rasual Butler",2.13914645454545,"48.3","10.6",809,2
"Kentavious Caldwell-Pope",5.9483066,"49.3","12.1",470,1
