"name","avg_salary","eFG","PER","tot_games","draft_round"
"Alaa Abdelnaby",0.5688,"50.2","13.0",256,1
"Mahmoud Abdul-Rauf",2.2055,"47.2","15.4",586,1
"Tariq Abdul-Wahad",2.75906,"42.2","11.4",236,1
"Rafael Addison",0.3466,"46.6","10.5",379,2
"Mark Aguirre",1.00578333333333,"49.8","19.0",923,1
"Danny Ainge",1.20416666666667,"51.9","14.7",1042,2
"Cory Alexander",1.2848535,"46.8","12.4",307,1
"Victor Alexander",1.07964166666667,"52.2","13.7",286,1
"Ray Allen",6.08956,"53.0","18.6",1300,1
"Derek Anderson",2.512928,"46.3","15.3",615,1
"Greg Anderson",0.614583333333333,"49.2","13.0",680,1
"Kenny Anderson",4.73365454545455,"44.9","16.4",858,1
"Nick Anderson",3.03573433333333,"50.0","15.8",800,1
"Ron Anderson",0.595,"47.9","14.3",664,2
"Shandon Anderson",2.07,"49.2","11.7",719,2
"Willie Anderson",1.35125,"47.9","13.8",555,1
"Greg Anthony",1.55384090909091,"46.7","14.5",757,1
"B.J. Armstrong",1.48909090909091,"51.3","14.5",747,1
"Vincent Askew",0.976208333333333,"49.4","12.6",467,2
"Stacey Augmon",1.91658333333333,"47.0","13.7",1001,1
"Isaac Austin",2.514074,"44.8","13.0",432,2
"Anthony Avent",0.682,"40.3","8.8",352,1
"John Bagley",0.55,"44.8","13.0",665,1
"Thurl Bailey",0.87,"47.3","14.3",928,1
"Vin Baker",5.35218588888889,"48.7","16.3",791,1
"Charles Barkley",3.50341666666667,"55.8","24.6",1073,1
"Dana Barros",2.13229166666667,"53.6","16.4",850,1
"Brent Barry",2.77621714285714,"57.0","15.7",912,1
"Jon Barry",1.005,"52.4","14.7",821,1
"Tony Battie",2.70316,"49.0","12.6",837,1
"Benoit Benjamin",2.37201433333333,"49.7","14.8",807,1
"Travis Best",2.12471428571429,"46.0","13.8",708,1
"Chauncey Billups",2.590344,"49.5","18.8",1043,1
"Larry Bird",3.084,"51.4","23.5",897,1
"Rolando Blackman",1.44952857142857,"50.1","16.7",980,1
"Mookie Blaylock",2.64916666666667,"46.5","16.8",889,1
"Corie Blount",1.1361735,"47.1","11.1",644,1
"Muggsy Bogues",1.23706615384615,"46.7","15.0",889,1
"Sam Bowie",2.18285714285714,"45.6","14.6",511,1
"Shawn Bradley",5.42,"45.7","16.0",832,1
"Terrell Brandon",3.48276727272727,"47.1","19.7",724,1
"Chucky Brown",0.49590625,"49.4","11.6",694,2
"Dee Brown",2.19472727272727,"48.8","14.6",608,1
"P.J. Brown",3.32604444444444,"46.1","14.1",1089,2
"Randy Brown",1.13290909090909,"42.1","10.3",655,2
"Mark Bryant",1.27115384615385,"50.0","10.9",797,1
"Jud Buechler",1.02136363636364,"49.2","11.2",720,2
"Scott Burrell",1.02857142857143,"49.1","13.5",383,1
"Willie Burton",0.950785714285714,"45.2","12.7",316,1
"Jason Caffey",2.71184571428571,"48.1","12.5",462,1
"Michael Cage",1.468311,"51.5","13.9",1140,1
"Marcus Camby",4.44954,"46.8","17.8",973,1
"Elden Campbell",4.39375,"46.0","15.9",1044,1
"Tony Campbell",1.06133333333333,"46.0","14.5",690,1
"Antoine Carr",1.30106,"50.3","14.2",987,1
"Chris Carr",0.591428571428572,"46.2","11.9",297,2
"Bill Cartwright",1.67814285714286,"52.5","15.2",963,1
"Sam Cassell",2.34666666666667,"48.0","19.5",993,1
"Terry Catledge",1.18145,"48.5","14.1",515,1
"Kelvin Cato",2.965048,"50.7","14.4",541,1
"Duane Causwell",1.60291745454545,"50.8","11.7",541,1
"Cedric Ceballos",1.81477272727273,"51.8","19.3",609,2
"Tom Chambers",1.45413888888889,"47.6","16.5",1107,1
"Rex Chapman",1.86005384615385,"47.7","13.9",666,1
"Calbert Cheaney",2.73333333333333,"48.0","11.0",825,1
"Pete Chilcutt",0.589033333333333,"48.1","11.9",584,1
"Doug Christie",2.32870744444444,"47.9","14.6",827,1
"Derrick Coleman",5.49898461538462,"46.2","18.0",781,1
"Bimbo Coles",1.309,"44.7","12.1",852,2
"Lester Conner",0.588,"45.6","14.1",687,1
"Anthony Cook",0.459,"43.9","11.0",116,1
"Tyrone Corbin",1.01968333333333,"46.8","13.1",1065,2
"Chris Crawford",1.4584,"46.2","12.9",252,2
"Austin Croshere",3.126112,"46.6","14.3",659,1
"Terry Cummings",1.80346666666667,"48.5","18.3",1183,1
"Bill Curley",0.846020875,"44.6","8.2",147,1
"Dell Curry",1.50623076923077,"51.3","16.0",1083,1
"Erick Dampier",3.50564666666667,"49.8","14.3",987,1
"Antonio Daniels",2.647368,"47.9","14.6",872,1
"Brad Daugherty",2.5770625,"53.2","18.9",548,1
"Antonio Davis",3.99611111111111,"44.8","14.1",903,2
"Dale Davis",3.91784845454545,"53.0","15.2",1094,1
"Hubert Davis",1.115675,"53.7","11.8",685,1
"Mark Davis",0.17604,"45.5","11.9",230,2
"Johnny Dawkins",1.35857142857143,"47.4","14.7",541,1
"Todd Day",1.51490625,"46.2","14.1",483,1
"Andrew DeClercq",1.378,"50.7","12.1",587,2
"Terry Dehere",0.894291666666667,"47.3","12.7",402,1
"Vinny Del Negro",1.62546745454545,"49.5","13.5",771,2
"Bison Dele",2.739,"52.8","16.5",413,1
"Tony Delk",1.36861333333333,"45.9","13.7",545,1
"Sherman Douglas",1.98577083333333,"49.5","15.1",765,2
"Greg Dreiling",0.349642857142857,"46.9","7.4",474,2
"Clyde Drexler",3.0202,"49.5","21.1",1086,1
"Kevin Duckworth",2.008,"46.8","11.9",684,2
"Joe Dumars",1.853475,"49.8","15.3",1018,1
"Tim Duncan",6.152866,"50.7","24.2",1392,1
"Ledell Eackles",0.508,"46.1","13.8",441,2
"Acie Earl",1.04,"40.3","10.6",193,1
"Blue Edwards",1.2085,"49.9","12.8",704,1
"Kevin Edwards",1.2675,"43.7","12.7",604,1
"Howard Eisley",1.95417857142857,"46.3","11.5",786,2
"Sean Elliott",3.5355555,"50.0","13.9",742,1
"Dale Ellis",1.50175,"53.6","16.0",1209,1
"LaPhonso Ellis",2.4839,"47.1","14.6",624,1
"Pervis Ellison",2.0125,"51.0","15.2",474,1
"A.J. English",0.2612,"43.8","11.6",151,2
"Patrick Ewing",8.41736571428572,"50.5","21.0",1183,1
"Jamie Feick",1.45945,"43.2","12.4",201,2
"Danny Ferry",3.30808333333333,"50.6","11.8",917,1
"Michael Finley",4.91326285714286,"49.2","16.0",1103,1
"Derek Fisher",1.91503333333333,"46.6","11.7",1287,1
"Vern Fleming",1.04492857142857,"50.1","15.1",893,1
"Sleepy Floyd",1.03928571428571,"47.0","15.5",957,1
"Danny Fortson",2.6109548,"47.2","16.2",440,1
"Greg Foster",0.652846769230769,"44.4","8.9",656,2
"Rick Fox",1.83220454545455,"50.1","13.6",930,1
"Adonal Foyle",2.619704,"47.7","12.3",733,1
"Todd Fuller",0.995048,"42.2","10.3",225,1
"Winston Garland",0.317143333333333,"43.8","12.5",511,2
"Chris Gatling",2.68171154545455,"51.7","17.6",700,1
"Matt Geiger",3.563552,"50.1","15.2",552,2
"Tate George",0.414652,"41.5","10.7",177,1
"Kendall Gill",3.37116666666667,"44.8","14.7",966,1
"Armen Gilliam",1.83773846153846,"48.9","16.4",929,1
"Mike Gminski",1.44857142857143,"46.5","16.3",938,1
"Greg Graham",1.12,"43.7","10.6",207,1
"Brian Grant",5.08211725,"49.1","14.9",756,1
"Gary Grant",0.783151461538461,"46.2","13.4",552,1
"Harvey Grant",2.08435227272727,"47.3","12.7",783,1
"Horace Grant",4.901975,"50.9","16.0",1165,1
"Jeff Grayer",0.644,"46.3","12.0",438,1
"A.C. Green",3.14390584615385,"50.1","14.4",1278,1
"Sidney Green",1.095,"45.5","12.1",679,1
"Tom Gugliotta",5.5332535,"46.3","15.9",763,1
"Tom Hammonds",1.065,"48.0","11.0",687,1
"Anfernee Hardaway",7.09988888888889,"48.6","17.4",704,1
"Tim Hardaway",3.80511583333333,"49.0","18.6",867,1
"Derek Harper",1.62679090909091,"50.3","16.0",1199,1
"Ron Harper",2.77004166666667,"46.8","15.6",1009,1
"Othella Harrington",1.46484,"50.5","12.5",709,2
"Lucious Harris",1.37,"46.5","12.8",800,2
